MovieID,Title,ReleaseYear,DurationMinutes,Language,Country,Budget,BoxOffice,Description,GenreID,DirectorID
1,Taiy Ken Shizukesa Tabibito,2009,96,Japanese,Japan,255825301.25,199760550.34,A production that will be remembered in cinema history. The film takes the audience on a deep adventure.,9,52
2,Sang Voix Ombre,1997,160,French,France,95779129.23,212874216.56,A striking film with strong social messages. Aesthetically and artistically successful film. Amazes viewers with its visual effects.,10,51
3,Feng Ri,1994,99,Chinese,China,86897026.08,384720125.73,Notable for its color palette and cinematography. The film takes the audience on a deep adventure.,6,54
4,Dream Fall Hopeless,2016,97,Turkish,Turkey,25856701.56,87656624.21,Stands out with excellent music and set design. Its fast pace and surprising ending astonish viewers. Memorable scenes leave a lasting impact.,8,56
5,Tian Shan,2022,125,Chinese,China,68109405.06,164244015.72,Offers a unique interpretation of historical events. Its fast pace and surprising ending astonish viewers. Enriched with cultural elements and historical references.,8,50
6,Zindagi Raat Pyar Safar,2004,84,Hindi,India,293480918.11,897075227.65,Aesthetically and artistically successful film. A story blending fantasy elements with the real world.,10,47
7,Luz Fuego,2003,146,Spanish,Mexico,23931263.28,107801238.88,Centers on childhood memories and family bonds. Notable for its color palette and cinematography.,5,60
8,Shan Long,2021,158,Chinese,China,16305894.51,33361171.56,Elegantly addresses the relationship between nature and humanity. A story blending fantasy elements with the real world. A must-watch for its gripping script and powerful performances. Memorable scenes leave a lasting impact. Its mysterious atmosphere captivates the audience.,10,40
9,Fluss Feuer Schatten Traum,1988,168,German,Germany,276897922.56,1072263324.66,Elegantly addresses the relationship between nature and humanity. The plot tells a story where love and drama intertwine. Centers on childhood memories and family bonds.,3,5
10,Feuer Seele,2021,116,German,Germany,145685676.36,155985072.32,Features powerful dialogues and cleverly constructed plot. Enriched with cultural elements and historical references. The film takes the audience on a deep adventure.,10,4
11,Tormenta Noche Luz,1977,155,Spanish,Mexico,221820686.44,768874947.98,Stands out with its original script and captivating storyline. Its fast pace and surprising ending astonish viewers. The plot tells a story where love and drama intertwine. A must-watch for its gripping script and powerful performances. Stands out with fast-paced action scenes.,10,23
12,Silence Dream,2008,176,Turkish,Turkey,298078879.63,1182376093.52,Amazes viewers with its visual effects. Elegantly addresses the relationship between nature and humanity. A story blending fantasy elements with the real world.,3,64
13,Dream Blood Night,1973,86,English,USA,50696318.83,116315180.85,Centers on childhood memories and family bonds. Offers a unique interpretation of historical events. Interpersonal relationships are impressively portrayed. A striking film with strong social messages. Enriched with cultural elements and historical references.,5,15
14,Life Sun Shadow King,2003,116,Turkish,Turkey,278203146.55,700986467.05,Memorable scenes leave a lasting impact. Features powerful dialogues and cleverly constructed plot. Notable for its color palette and cinematography. Enriched with cultural elements and historical references.,7,2
15,Soul Night River Path,1987,112,English,USA,196475812.83,444073047.9,Centers on childhood memories and family bonds. Offers a unique interpretation of historical events. Stands out with its original script and captivating storyline. A must-watch for its gripping script and powerful performances.,5,13
16,Shan Xin Zhan Ling,1970,81,Chinese,China,123669005.6,354149594.19,Amazes viewers with its visual effects. The plot tells a story where love and drama intertwine. The film takes the audience on a deep adventure. Features powerful dialogues and cleverly constructed plot.,1,9
17,Queen Battle,1973,156,English,United Kingdom,191605824.11,706323825.88,Interpersonal relationships are impressively portrayed. Centers on childhood memories and family bonds. Successfully reflects local cultural motifs.,10,28
18,Regina Eredit  Fuoco Notte,2006,169,Italian,Italy,55686766.36,101659464.98,Offers a unique interpretation of historical events. Centers on childhood memories and family bonds. Successfully reflects local cultural motifs. A must-watch for its gripping script and powerful performances. Enriched with cultural elements and historical references.,3,15
19,Night Fate,2019,179,Turkish,Turkey,19185020.27,43140528.68,Stands out with excellent music and set design. Stands out with fast-paced action scenes. A striking film with strong social messages.,2,36
20,Ombre Secret Nuit,2009,162,French,France,147871159.69,169671317.02,Offers a unique interpretation of historical events. Enriched with cultural elements and historical references. A thrilling production filled with suspenseful moments. The plot tells a story where love and drama intertwine. Stands out with fast-paced action scenes.,7,23
21,Shadow Whisper Dragon Night,2006,82,English,United Kingdom,269005461.67,314694489.73,Offers a unique interpretation of historical events. A must-watch for its gripping script and powerful performances. Interpersonal relationships are impressively portrayed.,5,58
22,Reino Luz,1970,141,Spanish,Spain,131099271.41,563493666.57,Interpersonal relationships are impressively portrayed. Offers a unique interpretation of historical events.,9,63
23,Chueok Saebyeok,1977,125,Korean,South Korea,100365193.99,186952890.88,Its mysterious atmosphere captivates the audience. Focuses on characters with psychological depth.,10,69
24,Path Night Fire,1975,162,English,USA,61334581.17,183705634.29,A thrilling production filled with suspenseful moments. Notable for its color palette and cinematography. Offers a unique interpretation of historical events. Its mysterious atmosphere captivates the audience. A striking film with strong social messages.,8,38
25,Light Fire Dragon Queen,2010,97,English,United Kingdom,11191637.44,6873240.33,A striking film with strong social messages. Focuses on characters with psychological depth. Stands out with excellent music and set design. The film takes the audience on a deep adventure.,8,25
26,Hana Ken,1991,180,Japanese,Japan,216443090.75,503183726.92,Centers on childhood memories and family bonds. Focuses on characters with psychological depth. Aesthetically and artistically successful film. A story blending fantasy elements with the real world. Elegantly addresses the relationship between nature and humanity.,1,44
27,Lumire Ombre Cur me,1974,142,French,France,196322542.27,514460937.05,Notable for its color palette and cinematography. The plot tells a story where love and drama intertwine. A production that will be remembered in cinema history.,1,19
28,Fire Battle,1999,155,English,United Kingdom,19655305.79,82131990.53,Stands out with fast-paced action scenes. Amazes viewers with its visual effects. Memorable scenes leave a lasting impact.,10,22
