ActorID,FirstName,LastName,Gender,BirthDate,Nationality,AwardsCount,Biography
1,Paul,Simon,Other,1951-11-11,France,0,Captivates the audience with natural acting and stage presence. An experienced artist who films in challenging locations. Praised for emotionally intense performances. Directs each film with great precision.
2,Tim,Schmidt,Male,1989-02-08,Germany,7,Known for deep character analysis. Respected in the industry and inspired many young talents. Also successful in voice acting and dubbing. Started their career at a young age and achieved many successful projects. Made a name at international festivals with prestigious awards.
3,David,Davis,Male,1994-06-14,USA,8,Directs each film with great precision. Has a wide filmography including works in different genres. Respected in the industry and inspired many young talents.
4,Finn,Müller,Male,1986-04-06,Germany,10,Known for deep character analysis. Received various awards and was praised by critics. Recognized for a creative directing style and attention to detail. An experienced artist who films in challenging locations. A pioneer in the use of innovative techniques in the film industry. Work has inspired many young filmmakers.
5,Min-Seo,Jung,Female,1954-08-19,South Korea,8,Delivered strong performances in many different roles throughout life. Directs each film with great precision. Successfully transitioned between cinema and theater. Captivates the audience with natural acting and stage presence.
6,William,Williams,Male,1971-06-21,United Kingdom,8,Participated in socially conscious projects. Known for deep character analysis. Has a wide filmography including works in different genres.
7,Léna,Bernard,Other,1960-03-06,France,10,Captivates the audience with natural acting and stage presence. Successfully transitioned between cinema and theater. Delivered strong performances in many different roles throughout life. An experienced artist who films in challenging locations.
8,Alejandro,López,Male,1993-04-15,Mexico,7,Explores cultural diversity and human stories. Recognized for a creative directing style and attention to detail. Work has inspired many young filmmakers. An experienced artist who films in challenging locations.
9,Carmen,Sánchez,Female,1956-04-06,Mexico,5,Participated in major projects in the film industry for many years. Delivered strong performances in many different roles throughout life. Known for being a versatile artist. A unique director blending classical and modern cinema. Also successful in voice acting and dubbing.
10,Yu-Jin,Yoon,Female,1990-01-23,South Korea,5,Participated in socially conscious projects. Pays special attention to film music and collaborates often. Explores cultural diversity and human stories. Directs each film with great precision. Respected in the industry and inspired many young talents.
11,Inès,Durand,Other,1971-06-05,France,3,Received various awards and was praised by critics. Respected in the industry and inspired many young talents. Captivates the audience with natural acting and stage presence. Explores cultural diversity and human stories. Also successful in voice acting and dubbing. Known for innovative and bold contributions in the art world.
12,Bo-Ra,Shin,Other,1961-04-29,South Korea,5,Directs each film with great precision. Started their career at a young age and achieved many successful projects. An experienced artist who films in challenging locations.
13,Tae-Hyun,Park,Male,1962-12-07,South Korea,1,Regarded as a significant figure in the world of art and culture. Respected in the industry and inspired many young talents. Work has inspired many young filmmakers. Explores cultural diversity and human stories. Praised for emotionally intense performances. Has a wide filmography including works in different genres.
14,Susan,Miller,Female,1997-11-15,USA,10,Participated in socially conscious projects. Received various awards and was praised by critics. Work has inspired many young filmmakers. Has a wide filmography including works in different genres. Proved mastery in both drama and comedy genres. Delivered strong performances in many different roles throughout life.
15,Louise,Bernard,Female,1988-12-07,France,7,Successfully transitioned between cinema and theater. Delivered strong performances in many different roles throughout life. Participated in major projects in the film industry for many years. Received various awards and was praised by critics.
16,Barbara,Miller,Female,1976-04-27,USA,6,Proved mastery in both drama and comedy genres. An experienced artist who films in challenging locations. Known for deep character analysis. A unique director blending classical and modern cinema.
17,Martina,Russo,Female,1965-04-02,Italy,9,Work has inspired many young filmmakers. Also successful in voice acting and dubbing. Proved mastery in both drama and comedy genres. Captivates the audience with natural acting and stage presence. A unique director blending classical and modern cinema. Known for innovative and bold contributions in the art world.
18,Camille,Robert,Female,1972-10-14,France,10,Directs each film with great precision. Delivered strong performances in many different roles throughout life. Also successful in voice acting and dubbing.
19,Ming,Zhou,Male,1989-08-18,China,4,Successfully transitioned between cinema and theater. Regarded as a significant figure in the world of art and culture. Directs each film with great precision. Delivered strong performances in many different roles throughout life. Recognized for a creative directing style and attention to detail. Explores cultural diversity and human stories.
20,Woo,Kang,Male,1984-03-19,South Korea,9,Successfully transitioned between cinema and theater. Delivered strong performances in many different roles throughout life. Participated in major projects in the film industry for many years. Also successful in voice acting and dubbing. Explores cultural diversity and human stories.
21,Jan,Becker,Male,1954-05-27,Germany,4,Work has inspired many young filmmakers. A pioneer in the use of innovative techniques in the film industry. Proved mastery in both drama and comedy genres. Praised for emotionally intense performances.
22,Louise,Martin,Female,1962-04-09,France,4,Received various awards and was praised by critics. A unique director blending classical and modern cinema. A pioneer in the use of innovative techniques in the film industry. Known for innovative and bold contributions in the art world. Has a wide filmography including works in different genres. Delivered strong performances in many different roles throughout life.
23,Linda,Williams,Female,1965-10-04,USA,8,An experienced artist who films in challenging locations. Regarded as a significant figure in the world of art and culture. Made a name at international festivals with prestigious awards. Captivates the audience with natural acting and stage presence. Delivered strong performances in many different roles throughout life.
24,Isabel,García,Female,1960-05-01,Mexico,2,Also successful in voice acting and dubbing. Known for being a versatile artist. Explores cultural diversity and human stories. Participated in socially conscious projects.
25,Michael,Jones,Male,1985-05-26,USA,8,Directs each film with great precision. A pioneer in the use of innovative techniques in the film industry. Also successful in voice acting and dubbing.
26,Ana,García,Female,1984-03-08,Mexico,10,Captivates the audience with natural acting and stage presence. Participated in major projects in the film industry for many years. Work has inspired many young filmmakers. Participated in socially conscious projects.
27,Robert,Garcia,Other,1969-11-10,USA,4,Started their career at a young age and achieved many successful projects. Known for innovative and bold contributions in the art world. Received various awards and was praised by critics. Successfully transitioned between cinema and theater. Delivered strong performances in many different roles throughout life. Captivates the audience with natural acting and stage presence.
28,William,Evans,Male,1998-03-24,United Kingdom,7,Also successful in voice acting and dubbing. Known for being a versatile artist. Successfully transitioned between cinema and theater. Participated in socially conscious projects. Known for deep character analysis.
29,Elena,Martinez,Female,1963-11-12,Spain,7,Regarded as a significant figure in the world of art and culture. Received various awards and was praised by critics. Successfully transitioned between cinema and theater. A pioneer in the use of innovative techniques in the film industry. Recognized for a creative directing style and attention to detail. Directs each film with great precision.
30,Hyun,Kang,Other,1982-07-16,South Korea,8,Received various awards and was praised by critics. Explores cultural diversity and human stories. Regarded as a significant figure in the world of art and culture. Recognized for a creative directing style and attention to detail. Started their career at a young age and achieved many successful projects.
